title,price,link,images,store_id,product_id
SAMSUNG GALAXY S21 ULTRA SILVER,13490,https://www.electroplanet.ma/p2817239-samsung-galaxy-s21-ultra-silver.html,https://media.electroplanet.ma/pub/media/catalog/product/cache/14e469c4a70431355c88f88fd8855f6e/2/8/2817239.jpg,electroplanet,
APPLE IPHONE 13 PRO 128G GOLD,14290,https://www.electroplanet.ma/p2908632-apple-iphone-13-pro-128g-gold.html,https://media.electroplanet.ma/pub/media/catalog/product/cache/14e469c4a70431355c88f88fd8855f6e/i/p/iphone_13_pro_gold_pure_back_iphone_13_pro_gold_pure_front_2-up_screen__usen.jpg,electroplanet,apple-iphone-13-pro-6gb-128gb
APPLE IPHONE 13 PRO 128G GRAPHITE,14290,https://www.electroplanet.ma/p2908630-apple-iphone-13-pro-128g-graphite.html,https://media.electroplanet.ma/pub/media/catalog/product/cache/14e469c4a70431355c88f88fd8855f6e/i/p/iphone_13_pro_graphite_pure_back_iphone_13_pro_graphite_pure_front_2-up_screen__usen.jpg,electroplanet,apple-iphone-13-pro-6gb-128gb
APPLE IPHONE 13 PRO 128G SIE...,14290,https://www.electroplanet.ma/p2908633-apple-iphone-13-pro-128g-sierra-bleu.html,https://media.electroplanet.ma/pub/media/catalog/product/cache/14e469c4a70431355c88f88fd8855f6e/s/i/sierra_bleu.jpg,electroplanet,apple-iphone-13-pro-6gb-128gb
APPLE IPHONE 12 PRO 128 GO G...,14299,https://www.electroplanet.ma/p2828059-apple-iphone-12-pro-128-go-graphite.html,https://media.electroplanet.ma/pub/media/catalog/product/cache/14e469c4a70431355c88f88fd8855f6e/i/p/iphone_12_pro_graphite_pure_front_iphone_12_pro_graphite_pure_back_2-up_screen__usen_4.jpg,electroplanet,apple-iphone-12-pro-6gb-128gb
APPLE IPHONE 12 PRO 128 GO P...,14299,https://www.electroplanet.ma/p2828060-apple-iphone-12-pro-128-go-pacific-bleu.html,https://media.electroplanet.ma/pub/media/catalog/product/cache/14e469c4a70431355c88f88fd8855f6e/i/p/iphone12pro_bleu_1.jpg,electroplanet,apple-iphone-12-pro-6gb-128gb
APPLE IPHONE 12 PRO 128 GO SILVER,14299,https://www.electroplanet.ma/p2828061-apple-iphone-12-pro-128-go-silver.html,https://media.electroplanet.ma/pub/media/catalog/product/cache/14e469c4a70431355c88f88fd8855f6e/i/p/iphone_12_pro_silver_pure_front_iphone_12_pro_silver_pure_back_2-up_screen__usen_5.jpg,electroplanet,apple-iphone-12-pro-6gb-128gb
APPLE IPHONE 13 512G BLEU,15490,https://www.electroplanet.ma/p2908614-apple-iphone-13-512g-bleu.html,https://media.electroplanet.ma/pub/media/catalog/product/cache/14e469c4a70431355c88f88fd8855f6e/i/p/iphone_13_blue_pure_back_iphone_13_blue_pure_front_2-up_screen__usen_2.jpg,electroplanet,apple-iphone-13-4gb-512gb
APPLE IPHONE 13 512G MIDNIGHT,15490,https://www.electroplanet.ma/p2908610-apple-iphone-13-512g-midnight.html,https://media.electroplanet.ma/pub/media/catalog/product/cache/14e469c4a70431355c88f88fd8855f6e/i/p/iphone_13_midnight_pure_back_iphone_13_midnight_pure_front_2-up_screen__usen_2.jpg,electroplanet,apple-iphone-13-4gb-512gb
APPLE IPHONE 13 PRO MAX 128G...,15490,https://www.electroplanet.ma/p2908646-apple-iphone-13-pro-max-128g-graphite.html,https://media.electroplanet.ma/pub/media/catalog/product/cache/14e469c4a70431355c88f88fd8855f6e/g/r/graphite_3.jpg,electroplanet,apple-iphone-13-pro-max-6gb-128gb
APPLE IPHONE 13 PRO MAX 128G...,15490,https://www.electroplanet.ma/p2908647-apple-iphone-13-pro-max-128g-silver.html,https://media.electroplanet.ma/pub/media/catalog/product/cache/14e469c4a70431355c88f88fd8855f6e/s/i/silver_4.jpg,electroplanet,apple-iphone-13-pro-max-6gb-128gb
APPLE IPHONE 13 PRO MAX 128G...,15490,https://www.electroplanet.ma/p2908649-apple-iphone-13-pro-max-128g-sierra-bleu.html,https://media.electroplanet.ma/pub/media/catalog/product/cache/14e469c4a70431355c88f88fd8855f6e/s/i/sierra_bleu_4.jpg,electroplanet,apple-iphone-13-pro-max-6gb-128gb
APPLE IPHONE 12 PRO MAX 128 ...,15599,https://www.electroplanet.ma/p2828073-apple-iphone-12-pro-max-128-go-graphite.html,https://media.electroplanet.ma/pub/media/catalog/product/cache/14e469c4a70431355c88f88fd8855f6e/1/2/12promax_noir_1.jpg,electroplanet,apple-iphone-12-pro-max-6gb-128gb
APPLE IPHONE 12 PRO MAX 128G...,15599,https://www.electroplanet.ma/p2585105-apple-iphone-12-pro-max-128g-silver.html,https://media.electroplanet.ma/pub/media/catalog/product/cache/14e469c4a70431355c88f88fd8855f6e/s/i/silver_1.jpg,electroplanet,apple-iphone-12-pro-max-6gb-128gb
APPLE IPHONE 12 PRO MAX 128G...,15599,https://www.electroplanet.ma/p2828074-apple-iphone-12-pro-max-128gb-pacific-blu.html,https://media.electroplanet.ma/pub/media/catalog/product/cache/14e469c4a70431355c88f88fd8855f6e/1/2/12pro_max_bleu.jpg,electroplanet,apple-iphone-12-pro-max-6gb-128gb
APPLE IPHONE 13 PRO 256G GRAPHITE,15790,https://www.electroplanet.ma/p2908634-apple-iphone-13-pro-256g-graphite.html,https://media.electroplanet.ma/pub/media/catalog/product/cache/14e469c4a70431355c88f88fd8855f6e/i/p/iphone_13_pro_graphite_pure_back_iphone_13_pro_graphite_pure_front_2-up_screen__usen_1.jpg,electroplanet,apple-iphone-13-pro-6gb-256gb
APPLE IPHONE 13 PRO 256GO GOLD,15790,https://www.electroplanet.ma/p2908636-apple-iphone-13-pro-256go-gold.html,https://media.electroplanet.ma/pub/media/catalog/product/cache/14e469c4a70431355c88f88fd8855f6e/i/p/iphone_13_pro_gold_pure_back_iphone_13_pro_gold_pure_front_2-up_screen__usen_1.jpg,electroplanet,apple-iphone-13-pro-6gb-256gb
APPLE IPHONE 13 PRO 256G SIE...,15790,https://www.electroplanet.ma/p2908637-apple-iphone-13-pro-256g-sierra-bleu.html,https://media.electroplanet.ma/pub/media/catalog/product/cache/14e469c4a70431355c88f88fd8855f6e/s/i/sierra_bleu_1.jpg,electroplanet,apple-iphone-13-pro-6gb-256gb
APPLE IPHONE 13 PRO MAX 256G...,16990,https://www.electroplanet.ma/p2908650-apple-iphone-13-pro-max-256g-graphite.html,https://media.electroplanet.ma/pub/media/catalog/product/cache/14e469c4a70431355c88f88fd8855f6e/g/r/graphite_4.jpg,electroplanet,apple-iphone-13-pro-max-6gb-256gb
APPLE IPHONE 13 PRO MAX 256G...,16990,https://www.electroplanet.ma/p2908651-apple-iphone-13-pro-max-256g-silver.html,https://media.electroplanet.ma/pub/media/catalog/product/cache/14e469c4a70431355c88f88fd8855f6e/s/i/silver_5.jpg,electroplanet,apple-iphone-13-pro-max-6gb-256gb
